attendance_id,student_id,date,status
148,5,2024-01-24,Present
149,5,2024-01-25,Present
150,5,2024-01-26,Present
151,5,2024-01-27,Present
152,5,2024-01-28,Present
153,5,2024-01-29,Present
154,5,2024-01-30,Late
155,5,2024-01-31,Present
156,6,2024-01-01,Present
157,6,2024-01-02,Present
158,6,2024-01-03,Present
159,6,2024-01-04,Present
160,6,2024-01-05,Present
161,6,2024-01-06,Present
162,6,2024-01-07,Present
163,6,2024-01-08,Present
164,6,2024-01-09,Present
165,6,2024-01-10,Present
166,6,2024-01-11,Present
167,6,2024-01-12,Present
168,6,2024-01-13,Present
169,6,2024-01-14,Present
170,6,2024-01-15,Present
171,6,2024-01-16,Present
172,6,2024-01-17,Present
173,6,2024-01-18,Present
174,6,2024-01-19,Present
175,6,2024-01-20,Present
176,6,2024-01-21,Present
177,6,2024-01-22,Present
178,6,2024-01-23,Present
179,6,2024-01-24,Present
180,6,2024-01-25,Present
181,6,2024-01-26,Present
182,6,2024-01-27,Present
183,6,2024-01-28,Present
184,6,2024-01-29,Present
185,6,2024-01-30,Present
186,6,2024-01-31,Present
187,7,2024-01-01,Present
188,7,2024-01-02,Absent
189,7,2024-01-03,Present
190,7,2024-01-04,Absent
191,7,2024-01-05,Absent
192,7,2024-01-06,Present
193,7,2024-01-07,Present
194,7,2024-01-08,Present
195,7,2024-01-09,Present
196,7,2024-01-10,Present
197,7,2024-01-11,Present
198,7,2024-01-12,Absent
199,7,2024-01-13,Present
200,7,2024-01-14,Absent
201,7,2024-01-15,Present
202,7,2024-01-16,Present
203,7,2024-01-17,Present
204,7,2024-01-18,Present
205,7,2024-01-19,Present
206,7,2024-01-20,Present
207,7,2024-01-21,Present
208,7,2024-01-22,Present
209,7,2024-01-23,Present
210,7,2024-01-24,Absent
211,7,2024-01-25,Absent
212,7,2024-01-26,Present
213,7,2024-01-27,Present
214,7,2024-01-28,Present
215,7,2024-01-29,Present
216,7,2024-01-30,Present
217,7,2024-01-31,Absent
218,8,2024-01-01,Present
219,8,2024-01-02,Present
220,8,2024-01-03,Absent
221,8,2024-01-04,Present
222,8,2024-01-05,Present
223,8,2024-01-06,Present
224,8,2024-01-07,Present
225,8,2024-01-08,Present
226,8,2024-01-09,Present
227,8,2024-01-10,Present
228,8,2024-01-11,Present
229,8,2024-01-12,Absent
230,8,2024-01-13,Present
231,8,2024-01-14,Present
232,8,2024-01-15,Present
233,8,2024-01-16,Absent
234,8,2024-01-17,Present
235,8,2024-01-18,Present
236,8,2024-01-19,Present
237,8,2024-01-20,Present
238,8,2024-01-21,Present
239,8,2024-01-22,Present
240,8,2024-01-23,Present
241,8,2024-01-24,Present
242,8,2024-01-25,Late
243,8,2024-01-26,Present
244,8,2024-01-27,Present
245,8,2024-01-28,Absent
246,8,2024-01-29,Present
247,8,2024-01-30,Present
248,8,2024-01-31,Present
249,9,2024-01-01,Present
250,9,2024-01-02,Present
251,9,2024-01-03,Present
252,9,2024-01-04,Present
253,9,2024-01-05,Late
254,9,2024-01-06,Absent
255,9,2024-01-07,Present
256,9,2024-01-08,Present
257,9,2024-01-09,Present
258,9,2024-01-10,Present
259,9,2024-01-11,Absent
260,9,2024-01-12,Absent
261,9,2024-01-13,Present
262,9,2024-01-14,Absent
263,9,2024-01-15,Present
264,9,2024-01-16,Late
265,9,2024-01-17,Present
266,9,2024-01-18,Absent
267,9,2024-01-19,Present
268,9,2024-01-20,Present
269,9,2024-01-21,Present
270,9,2024-01-22,Present
271,9,2024-01-23,Present
272,9,2024-01-24,Absent
273,9,2024-01-25,Present
274,9,2024-01-26,Present
275,9,2024-01-27,Present
276,9,2024-01-28,Present
277,9,2024-01-29,Present
278,9,2024-01-30,Present
279,9,2024-01-31,Present
280,10,2024-01-01,Present
281,10,2024-01-02,Absent
282,10,2024-01-03,Present
283,10,2024-01-04,Absent
284,10,2024-01-05,Present
285,10,2024-01-06,Present
286,10,2024-01-07,Present
287,10,2024-01-08,Present
288,10,2024-01-09,Present
289,10,2024-01-10,Absent
290,10,2024-01-11,Present
291,10,2024-01-12,Present
292,10,2024-01-13,Present
293,10,2024-01-14,Present
294,10,2024-01-15,Present
295,10,2024-01-16,Present
296,10,2024-01-17,Absent
297,10,2024-01-18,Present
298,10,2024-01-19,Present
299,10,2024-01-20,Present
300,10,2024-01-21,Late
301,10,2024-01-22,Present
302,10,2024-01-23,Present
303,10,2024-01-24,Present
304,10,2024-01-25,Present
305,10,2024-01-26,Present
306,10,2024-01-27,Present
307,10,2024-01-28,Present
308,10,2024-01-29,Late
309,10,2024-01-30,Present
310,10,2024-01-31,Present
311,11,2024-01-01,Present
312,11,2024-01-02,Present
313,11,2024-01-03,Present
314,11,2024-01-04,Present
315,11,2024-01-05,Absent
316,11,2024-01-06,Present
317,11,2024-01-07,Present
318,11,2024-01-08,Late
319,11,2024-01-09,Present
320,11,2024-01-10,Present
321,11,2024-01-11,Absent
322,11,2024-01-12,Present
323,11,2024-01-13,Absent
324,11,2024-01-14,Present
325,11,2024-01-15,Present
326,11,2024-01-16,Present
327,11,2024-01-17,Present
328,11,2024-01-18,Absent
329,11,2024-01-19,Present
330,11,2024-01-20,Present
331,11,2024-01-21,Present
332,11,2024-01-22,Absent
333,11,2024-01-23,Present
334,11,2024-01-24,Absent
335,11,2024-01-25,Present
336,11,2024-01-26,Present
337,11,2024-01-27,Present
338,11,2024-01-28,Present
339,11,2024-01-29,Absent
340,11,2024-01-30,Present
341,11,2024-01-31,Present
342,12,2024-01-01,Present
343,12,2024-01-02,Present
344,12,2024-01-03,Present
345,12,2024-01-04,Absent
346,12,2024-01-05,Present
347,12,2024-01-06,Present
348,12,2024-01-07,Present
349,12,2024-01-08,Present
350,12,2024-01-09,Present
351,12,2024-01-10,Absent
352,12,2024-01-11,Present
353,12,2024-01-12,Present
354,12,2024-01-13,Present
355,12,2024-01-14,Present
356,12,2024-01-15,Present
357,12,2024-01-16,Present
358,12,2024-01-17,Present
359,12,2024-01-18,Present
360,12,2024-01-19,Present
361,12,2024-01-20,Absent
362,12,2024-01-21,Absent
363,12,2024-01-22,Absent
364,12,2024-01-23,Present
365,12,2024-01-24,Present
366,12,2024-01-25,Present
367,12,2024-01-26,Present
368,12,2024-01-27,Absent
369,12,2024-01-28,Present
370,12,2024-01-29,Present
371,12,2024-01-30,Present
372,12,2024-01-31,Present
373,13,2024-01-01,Present
374,13,2024-01-02,Absent
375,13,2024-01-03,Present
376,13,2024-01-04,Present
377,13,2024-01-05,Present
378,13,2024-01-06,Present
379,13,2024-01-07,Present
380,13,2024-01-08,Present
381,13,2024-01-09,Present
382,13,2024-01-10,Present
383,13,2024-01-11,Present
384,13,2024-01-12,Present
385,13,2024-01-13,Present
386,13,2024-01-14,Present
387,13,2024-01-15,Present
388,13,2024-01-16,Present
389,13,2024-01-17,Present
390,13,2024-01-18,Absent
391,13,2024-01-19,Present
392,13,2024-01-20,Present
393,13,2024-01-21,Absent
394,13,2024-01-22,Absent
395,13,2024-01-23,Present
396,13,2024-01-24,Absent
397,13,2024-01-25,Present
398,13,2024-01-26,Late
399,13,2024-01-27,Absent
400,13,2024-01-28,Absent
401,13,2024-01-29,Late
402,13,2024-01-30,Present
403,13,2024-01-31,Present
404,14,2024-01-01,Present
405,14,2024-01-02,Present
406,14,2024-01-03,Present
407,14,2024-01-04,Present
408,14,2024-01-05,Absent
409,14,2024-01-06,Present
410,14,2024-01-07,Present
411,14,2024-01-08,Present
412,14,2024-01-09,Late
413,14,2024-01-10,Absent
414,14,2024-01-11,Present
415,14,2024-01-12,Absent
416,14,2024-01-13,Present
417,14,2024-01-14,Present
418,14,2024-01-15,Present
419,14,2024-01-16,Present
420,14,2024-01-17,Present
421,14,2024-01-18,Present
422,14,2024-01-19,Present
423,14,2024-01-20,Present
424,14,2024-01-21,Late
425,14,2024-01-22,Present
426,14,2024-01-23,Present
427,14,2024-01-24,Absent
428,14,2024-01-25,Present
429,14,2024-01-26,Late
430,14,2024-01-27,Present
431,14,2024-01-28,Absent
432,14,2024-01-29,Present
433,14,2024-01-30,Present
434,14,2024-01-31,Present
435,15,2024-01-01,Present
436,15,2024-01-02,Absent
437,15,2024-01-03,Absent
438,15,2024-01-04,Present
439,15,2024-01-05,Present
440,15,2024-01-06,Present
441,15,2024-01-07,Present
442,15,2024-01-08,Present
443,15,2024-01-09,Present
444,15,2024-01-10,Present
445,15,2024-01-11,Absent
446,15,2024-01-12,Present
447,15,2024-01-13,Present
448,15,2024-01-14,Present
449,15,2024-01-15,Present
450,15,2024-01-16,Present
451,15,2024-01-17,Present
452,15,2024-01-18,Present
453,15,2024-01-19,Absent
454,15,2024-01-20,Present
455,15,2024-01-21,Present
456,15,2024-01-22,Absent
457,15,2024-01-23,Late
458,15,2024-01-24,Present
459,15,2024-01-25,Present
460,15,2024-01-26,Present
461,15,2024-01-27,Present
462,15,2024-01-28,Present
463,15,2024-01-29,Absent
464,15,2024-01-30,Present
465,15,2024-01-31,Absent
466,16,2024-01-01,Late
467,16,2024-01-02,Present
468,16,2024-01-03,Present
469,16,2024-01-04,Present
470,16,2024-01-05,Present
471,16,2024-01-06,Present
472,16,2024-01-07,Present
473,16,2024-01-08,Present
474,16,2024-01-09,Present
475,16,2024-01-10,Present
476,16,2024-01-11,Present
477,16,2024-01-12,Absent
478,16,2024-01-13,Present
479,16,2024-01-14,Late
480,16,2024-01-15,Present
481,16,2024-01-16,Present
482,16,2024-01-17,Present
483,16,2024-01-18,Absent
484,16,2024-01-19,Present
485,16,2024-01-20,Present
486,16,2024-01-21,Absent
487,16,2024-01-22,Absent
488,16,2024-01-23,Late
489,16,2024-01-24,Present
490,16,2024-01-25,Late
491,16,2024-01-26,Present
492,16,2024-01-27,Present
493,16,2024-01-28,Present
494,16,2024-01-29,Present
495,16,2024-01-30,Absent
496,16,2024-01-31,Absent
497,17,2024-01-01,Present
498,17,2024-01-02,Absent
499,17,2024-01-03,Present
500,17,2024-01-04,Present
501,17,2024-01-05,Present
502,17,2024-01-06,Present
503,17,2024-01-07,Absent
504,17,2024-01-08,Present
505,17,2024-01-09,Present
506,17,2024-01-10,Present
507,17,2024-01-11,Present
508,17,2024-01-12,Present
509,17,2024-01-13,Present
510,17,2024-01-14,Present
511,17,2024-01-15,Present
512,17,2024-01-16,Present
513,17,2024-01-17,Present
514,17,2024-01-18,Present
515,17,2024-01-19,Absent
516,17,2024-01-20,Present
517,17,2024-01-21,Present
518,17,2024-01-22,Present
519,17,2024-01-23,Present
520,17,2024-01-24,Present
521,17,2024-01-25,Present
522,17,2024-01-26,Present
523,17,2024-01-27,Present
524,17,2024-01-28,Present
525,17,2024-01-29,Present
526,17,2024-01-30,Absent
527,17,2024-01-31,Present
528,18,2024-01-01,Present
529,18,2024-01-02,Present
530,18,2024-01-03,Present
531,18,2024-01-04,Present
532,18,2024-01-05,Present
533,18,2024-01-06,Present
534,18,2024-01-07,Present
535,18,2024-01-08,Absent
536,18,2024-01-09,Present
537,18,2024-01-10,Present
538,18,2024-01-11,Absent
539,18,2024-01-12,Present
540,18,2024-01-13,Absent
541,18,2024-01-14,Present
542,18,2024-01-15,Present
543,18,2024-01-16,Present
544,18,2024-01-17,Present
545,18,2024-01-18,Present
546,18,2024-01-19,Present
547,18,2024-01-20,Absent
548,18,2024-01-21,Present
549,18,2024-01-22,Present
550,18,2024-01-23,Present
551,18,2024-01-24,Present
552,18,2024-01-25,Present
553,18,2024-01-26,Present
554,18,2024-01-27,Late
555,18,2024-01-28,Present
556,18,2024-01-29,Late
557,18,2024-01-30,Present
558,18,2024-01-31,Present
559,19,2024-01-01,Present
560,19,2024-01-02,Present
561,19,2024-01-03,Present
562,19,2024-01-04,Present
563,19,2024-01-05,Absent
564,19,2024-01-06,Absent
565,19,2024-01-07,Late
566,19,2024-01-08,Present
567,19,2024-01-09,Present
568,19,2024-01-10,Present
569,19,2024-01-11,Present
570,19,2024-01-12,Present
571,19,2024-01-13,Present
572,19,2024-01-14,Present
573,19,2024-01-15,Present
574,19,2024-01-16,Present
575,19,2024-01-17,Present
576,19,2024-01-18,Present
577,19,2024-01-19,Absent
578,19,2024-01-20,Present
579,19,2024-01-21,Present
580,19,2024-01-22,Present
581,19,2024-01-23,Present
582,19,2024-01-24,Present
583,19,2024-01-25,Present
584,19,2024-01-26,Present
585,19,2024-01-27,Present
586,19,2024-01-28,Present
587,19,2024-01-29,Present
588,19,2024-01-30,Absent
589,19,2024-01-31,Absent
590,20,2024-01-01,Present
591,20,2024-01-02,Present
592,20,2024-01-03,Present
593,20,2024-01-04,Present
594,20,2024-01-05,Present
595,20,2024-01-06,Present
596,20,2024-01-07,Late
597,20,2024-01-08,Present
598,20,2024-01-09,Present
599,20,2024-01-10,Present
600,20,2024-01-11,Present
601,20,2024-01-12,Absent
602,20,2024-01-13,Absent
603,20,2024-01-14,Present
604,20,2024-01-15,Present
605,20,2024-01-16,Present
606,20,2024-01-17,Present
607,20,2024-01-18,Present
608,20,2024-01-19,Absent
609,20,2024-01-20,Absent
610,20,2024-01-21,Present
611,20,2024-01-22,Present
612,20,2024-01-23,Late
613,20,2024-01-24,Present
614,20,2024-01-25,Present
615,20,2024-01-26,Present
616,20,2024-01-27,Present
617,20,2024-01-28,Present
618,20,2024-01-29,Present
619,20,2024-01-30,Present
620,20,2024-01-31,Present
621,21,2024-01-01,Present
622,21,2024-01-02,Present
623,21,2024-01-03,Absent
624,21,2024-01-04,Present
625,21,2024-01-05,Present
626,21,2024-01-06,Present
627,21,2024-01-07,Present
628,21,2024-01-08,Present
629,21,2024-01-09,Present
630,21,2024-01-10,Present
631,21,2024-01-11,Present
632,21,2024-01-12,Present
633,21,2024-01-13,Absent
634,21,2024-01-14,Present
635,21,2024-01-15,Present
636,21,2024-01-16,Late
637,21,2024-01-17,Absent
638,21,2024-01-18,Present
639,21,2024-01-19,Present
640,21,2024-01-20,Present
641,21,2024-01-21,Late
642,21,2024-01-22,Present
643,21,2024-01-23,Absent
644,21,2024-01-24,Absent
645,21,2024-01-25,Present
646,21,2024-01-26,Absent
647,21,2024-01-27,Present
648,21,2024-01-28,Present
649,21,2024-01-29,Present
650,21,2024-01-30,Present
651,21,2024-01-31,Present
652,22,2024-01-01,Present
653,22,2024-01-02,Present
654,22,2024-01-03,Absent
655,22,2024-01-04,Present
656,22,2024-01-05,Present
657,22,2024-01-06,Present
658,22,2024-01-07,Present
659,22,2024-01-08,Present
660,22,2024-01-09,Present
661,22,2024-01-10,Present
662,22,2024-01-11,Present
663,22,2024-01-12,Late
664,22,2024-01-13,Absent
665,22,2024-01-14,Late
666,22,2024-01-15,Present
667,22,2024-01-16,Present
668,22,2024-01-17,Absent
669,22,2024-01-18,Present
670,22,2024-01-19,Present
671,22,2024-01-20,Present
672,22,2024-01-21,Present
673,22,2024-01-22,Absent
674,22,2024-01-23,Present
675,22,2024-01-24,Present
676,22,2024-01-25,Present
677,22,2024-01-26,Present
678,22,2024-01-27,Present
679,22,2024-01-28,Absent
680,22,2024-01-29,Present
681,22,2024-01-30,Present
682,22,2024-01-31,Absent
683,23,2024-01-01,Present
684,23,2024-01-02,Present
685,23,2024-01-03,Present
686,23,2024-01-04,Present
687,23,2024-01-05,Present
688,23,2024-01-06,Present
689,23,2024-01-07,Present
690,23,2024-01-08,Present
691,23,2024-01-09,Present
692,23,2024-01-10,Present
693,23,2024-01-11,Present
694,23,2024-01-12,Present
695,23,2024-01-13,Present
696,23,2024-01-14,Absent
697,23,2024-01-15,Absent
698,23,2024-01-16,Present
699,23,2024-01-17,Present
700,23,2024-01-18,Present
701,23,2024-01-19,Absent
702,23,2024-01-20,Present
703,23,2024-01-21,Present
704,23,2024-01-22,Present
705,23,2024-01-23,Absent
706,23,2024-01-24,Absent
707,23,2024-01-25,Present
708,23,2024-01-26,Present
709,23,2024-01-27,Absent
710,23,2024-01-28,Present
711,23,2024-01-29,Present
712,23,2024-01-30,Present
713,23,2024-01-31,Present
714,24,2024-01-01,Present
715,24,2024-01-02,Present
716,24,2024-01-03,Absent
717,24,2024-01-04,Present
718,24,2024-01-05,Present
719,24,2024-01-06,Present
720,24,2024-01-07,Present
721,24,2024-01-08,Absent
722,24,2024-01-09,Present
723,24,2024-01-10,Present
724,24,2024-01-11,Late
725,24,2024-01-12,Present
726,24,2024-01-13,Absent
727,24,2024-01-14,Present
728,24,2024-01-15,Absent
729,24,2024-01-16,Absent
730,24,2024-01-17,Absent
731,24,2024-01-18,Present
732,24,2024-01-19,Absent
733,24,2024-01-20,Present
734,24,2024-01-21,Present
735,24,2024-01-22,Late
736,24,2024-01-23,Present
737,24,2024-01-24,Absent
738,24,2024-01-25,Present
739,24,2024-01-26,Present
740,24,2024-01-27,Present
741,24,2024-01-28,Present
742,24,2024-01-29,Present
743,24,2024-01-30,Absent
744,24,2024-01-31,Present
745,25,2024-01-01,Late
746,25,2024-01-02,Absent
747,25,2024-01-03,Present
748,25,2024-01-04,Present
749,25,2024-01-05,Present
750,25,2024-01-06,Present
751,25,2024-01-07,Absent
752,25,2024-01-08,Present
753,25,2024-01-09,Present
754,25,2024-01-10,Present
755,25,2024-01-11,Present
756,25,2024-01-12,Absent
757,25,2024-01-13,Present
758,25,2024-01-14,Present
759,25,2024-01-15,Present
760,25,2024-01-16,Present
761,25,2024-01-17,Present
762,25,2024-01-18,Present
763,25,2024-01-19,Present
764,25,2024-01-20,Present
765,25,2024-01-21,Present
766,25,2024-01-22,Late
767,25,2024-01-23,Late
768,25,2024-01-24,Present
769,25,2024-01-25,Present
770,25,2024-01-26,Present
771,25,2024-01-27,Present
772,25,2024-01-28,Present
773,25,2024-01-29,Present
774,25,2024-01-30,Present
775,25,2024-01-31,Absent
776,26,2024-01-01,Present
777,26,2024-01-02,Present
778,26,2024-01-03,Present
779,26,2024-01-04,Late
780,26,2024-01-05,Late
781,26,2024-01-06,Absent
782,26,2024-01-07,Present
783,26,2024-01-08,Present
784,26,2024-01-09,Present
785,26,2024-01-10,Present
786,26,2024-01-11,Late
787,26,2024-01-12,Present
788,26,2024-01-13,Late
789,26,2024-01-14,Present
790,26,2024-01-15,Present
791,26,2024-01-16,Present
792,26,2024-01-17,Present
793,26,2024-01-18,Present
794,26,2024-01-19,Present
795,26,2024-01-20,Present
796,26,2024-01-21,Present
797,26,2024-01-22,Present
798,26,2024-01-23,Present
799,26,2024-01-24,Present
800,26,2024-01-25,Absent
801,26,2024-01-26,Late
802,26,2024-01-27,Absent
803,26,2024-01-28,Present
804,26,2024-01-29,Present
805,26,2024-01-30,Present
806,26,2024-01-31,Present
807,27,2024-01-01,Present
808,27,2024-01-02,Present
809,27,2024-01-03,Absent
810,27,2024-01-04,Present
811,27,2024-01-05,Present
812,27,2024-01-06,Present
813,27,2024-01-07,Absent
814,27,2024-01-08,Present
815,27,2024-01-09,Present
816,27,2024-01-10,Present
817,27,2024-01-11,Present
818,27,2024-01-12,Present
819,27,2024-01-13,Present
820,27,2024-01-14,Present
821,27,2024-01-15,Present
822,27,2024-01-16,Present
823,27,2024-01-17,Present
824,27,2024-01-18,Present
825,27,2024-01-19,Present
826,27,2024-01-20,Present
827,27,2024-01-21,Present
828,27,2024-01-22,Absent
829,27,2024-01-23,Present
830,27,2024-01-24,Late
831,27,2024-01-25,Present
832,27,2024-01-26,Present
833,27,2024-01-27,Absent
834,27,2024-01-28,Present
835,27,2024-01-29,Present
836,27,2024-01-30,Present
837,27,2024-01-31,Present
838,28,2024-01-01,Present
839,28,2024-01-02,Present
840,28,2024-01-03,Present
841,28,2024-01-04,Present
842,28,2024-01-05,Absent
843,28,2024-01-06,Present
844,28,2024-01-07,Absent
845,28,2024-01-08,Present
846,28,2024-01-09,Absent
847,28,2024-01-10,Present
848,28,2024-01-11,Present
849,28,2024-01-12,Present
850,28,2024-01-13,Present
851,28,2024-01-14,Present
852,28,2024-01-15,Present
853,28,2024-01-16,Present
854,28,2024-01-17,Present
855,28,2024-01-18,Present
856,28,2024-01-19,Present
857,28,2024-01-20,Late
858,28,2024-01-21,Present
859,28,2024-01-22,Present
860,28,2024-01-23,Present
861,28,2024-01-24,Present
862,28,2024-01-25,Absent
863,28,2024-01-26,Present
864,28,2024-01-27,Present
865,28,2024-01-28,Present
866,28,2024-01-29,Present
867,28,2024-01-30,Present
868,28,2024-01-31,Present
869,29,2024-01-01,Present
870,29,2024-01-02,Present
871,29,2024-01-03,Absent
872,29,2024-01-04,Absent
873,29,2024-01-05,Present
874,29,2024-01-06,Present
875,29,2024-01-07,Absent
876,29,2024-01-08,Present
877,29,2024-01-09,Present
878,29,2024-01-10,Present
879,29,2024-01-11,Absent
880,29,2024-01-12,Present
881,29,2024-01-13,Absent
882,29,2024-01-14,Present
883,29,2024-01-15,Absent
884,29,2024-01-16,Absent
885,29,2024-01-17,Absent
886,29,2024-01-18,Absent
887,29,2024-01-19,Present
888,29,2024-01-20,Absent
889,29,2024-01-21,Present
890,29,2024-01-22,Present
891,29,2024-01-23,Present
892,29,2024-01-24,Absent
893,29,2024-01-25,Present
894,29,2024-01-26,Present
895,29,2024-01-27,Present
896,29,2024-01-28,Present
897,29,2024-01-29,Present
898,29,2024-01-30,Present
899,29,2024-01-31,Absent
900,30,2024-01-01,Absent
901,30,2024-01-02,Present
902,30,2024-01-03,Present
903,30,2024-01-04,Present
904,30,2024-01-05,Present
905,30,2024-01-06,Present
906,30,2024-01-07,Present
907,30,2024-01-08,Present
908,30,2024-01-09,Present
909,30,2024-01-10,Present
910,30,2024-01-11,Present
911,30,2024-01-12,Present
912,30,2024-01-13,Present
913,30,2024-01-14,Absent
914,30,2024-01-15,Present
915,30,2024-01-16,Present
916,30,2024-01-17,Present
917,30,2024-01-18,Late
918,30,2024-01-19,Present
919,30,2024-01-20,Present
920,30,2024-01-21,Absent
921,30,2024-01-22,Present
922,30,2024-01-23,Present
923,30,2024-01-24,Absent
924,30,2024-01-25,Present
925,30,2024-01-26,Late
926,30,2024-01-27,Late
927,30,2024-01-28,Present
928,30,2024-01-29,Present
929,30,2024-01-30,Absent
930,30,2024-01-31,Present
931,31,2024-01-01,Present
932,31,2024-01-02,Present
933,31,2024-01-03,Present
934,31,2024-01-04,Present
935,31,2024-01-05,Present
936,31,2024-01-06,Absent
937,31,2024-01-07,Present
938,31,2024-01-08,Present
939,31,2024-01-09,Present
940,31,2024-01-10,Present
941,31,2024-01-11,Present
942,31,2024-01-12,Present
943,31,2024-01-13,Present
944,31,2024-01-14,Present
945,31,2024-01-15,Present
946,31,2024-01-16,Present
947,31,2024-01-17,Present
948,31,2024-01-18,Present
949,31,2024-01-19,Late
950,31,2024-01-20,Present
951,31,2024-01-21,Present
952,31,2024-01-22,Present
953,31,2024-01-23,Present
954,31,2024-01-24,Present
955,31,2024-01-25,Present
956,31,2024-01-26,Present
957,31,2024-01-27,Present
958,31,2024-01-28,Absent
959,31,2024-01-29,Late
960,31,2024-01-30,Present
961,31,2024-01-31,Present
962,32,2024-01-01,Late
963,32,2024-01-02,Present
964,32,2024-01-03,Present
965,32,2024-01-04,Present
966,32,2024-01-05,Present
967,32,2024-01-06,Present
968,32,2024-01-07,Present
969,32,2024-01-08,Present
970,32,2024-01-09,Present
971,32,2024-01-10,Absent
972,32,2024-01-11,Absent
973,32,2024-01-12,Present
974,32,2024-01-13,Present
975,32,2024-01-14,Present
976,32,2024-01-15,Present
977,32,2024-01-16,Present
978,32,2024-01-17,Present
979,32,2024-01-18,Present
980,32,2024-01-19,Present
981,32,2024-01-20,Present
982,32,2024-01-21,Present
983,32,2024-01-22,Present
984,32,2024-01-23,Absent
985,32,2024-01-24,Present
986,32,2024-01-25,Present
